"entity";"#negative";"#positive";"#neutral";"#mixed";"#other"
"vegas";"0";"3";"10";"1";"0"
"twitter";"2";"1";"14";"2";"0"
"cancer";"13";"0";"0";"0";"0"
"london";"0";"5";"8";"1";"0"
"seattle";"1";"3";"9";"1";"0"
"cavs";"3";"5";"5";"1";"0"
"brazil";"0";"0";"16";"0";"0"
"youtube";"1";"1";"24";"0";"0"
"mcdonalds";"3";"4";"8";"1";"0"
"lebron";"5";"6";"1";"0";"0"
"iphone";"0";"3";"6";"0";"0"
"psp";"5";"5";"3";"0";"0"
"obama";"1";"3";"6";"0";"0"
"ipod";"1";"4";"8";"0";"0"
"sydney";"0";"2";"15";"1";"0"
"lakers";"4";"12";"5";"1";"0"
"oprah";"0";"3";"11";"2";"0"
"xbox";"1";"4";"5";"0";"0"
"england";"2";"6";"10";"2";"0"
"starbucks";"0";"6";"6";"0";"0"
"facebook";"3";"1";"15";"0";"0"
"jonas_brothers";"0";"1";"0";"0";"0"
"ginormica";"0";"1";"0";"0";"0"
"lebron_james";"1";"0";"0";"0";"0"
"pandora";"0";"1";"0";"0";"0"
"pancreatic_cancer";"1";"0";"0";"0";"0"
"beatles";"0";"1";"0";"0";"0"
"maryjane";"1";"0";"0";"0";"0"
"riyadh";"0";"1";"0";"0";"0"
"omaha";"0";"1";"0";"0";"0"
"university";"1";"0";"0";"0";"0"
"sam";"0";"1";"0";"0";"0"
"pride_and_prejudice";"0";"1";"0";"0";"0"
"sil";"0";"1";"0";"0";"0"
"taylor_swift";"0";"19";"1";"0";"0"
"usher";"0";"1";"0";"0";"0"
"sydney_aquarium";"0";"1";"0";"0";"0"
"katy_perry";"0";"1";"0";"0";"0"
"verizon";"0";"1";"0";"0";"0"
"fever";"11";"0";"0";"0";"0"
"kobe";"0";"1";"0";"0";"0"
"emily";"0";"1";"0";"0";"0"
"jasmine_tea";"0";"1";"0";"0";"0"
"wii";"1";"0";"0";"0";"0"
"macheist";"0";"1";"0";"0";"0"
"miley_cyrus";"0";"1";"0";"0";"0"
"dallas";"0";"1";"0";"0";"0"
"headache";"21";"0";"0";"1";"0"
"coco_martin";"0";"1";"0";"0";"0"
"lung_cancer";"1";"0";"0";"0";"0"
"skin_cancer";"1";"0";"0";"0";"0"
"kardashian";"0";"1";"0";"0";"0"
"paulo";"1";"0";"0";"0";"0"
"yyy";"0";"1";"0";"0";"0"
"trader_joe";"0";"1";"0";"0";"0"
"dominique_wilkins";"1";"0";"0";"0";"0"
"amy_adams";"0";"1";"0";"0";"0"
"flu";"1";"0";"0";"0";"0"
